"ProbeID","logFC","AveExpr","t","P.Value","adj.P.Val","B","Symbol","Entrez_Gene_ID","Mean_RRMS","Mean_SPMS","Delta_abs"
"ILMN_1658376",-5.87315310722222,-1.48944111392857,-3.02088119989691,0.00381948617586932,0.999537311363859,-4.58474107323962,"CCDC114",93233,0.608113567222222,-5.26503954,5.87315310722222
"ILMN_1698950",7.77584031,12.1745536,2.99033068760635,0.0041629017345268,0.999537311363859,-4.58494658263051,"PWP2",5822,9.397467775,17.173308085,7.77584031
"ILMN_1680420",7.74468601111111,22.5688731785714,2.9887223480852,0.00418175529745223,0.999537311363859,-4.58495737633563,"NUDT13",25961,19.8029138888889,27.5475999,7.74468601111111
"ILMN_1791306",29.6010605555555,173.993021785714,2.96721670348136,0.00444161760562668,0.999537311363859,-4.58510145453456,"C9orf103",414328,163.421214444444,193.022275,29.6010605555556
"ILMN_1737152",4.82146886327778,-0.725896427321429,2.95296440397899,0.00462203430932437,0.999537311363859,-4.58519668138277,"DAO",1610,-2.44784959277778,2.3736192705,4.82146886327778
"ILMN_2115143",-3.95696914516667,-1.44864764196429,-2.94147683559778,0.0047723899339769,0.999537311363859,-4.58527328432083,"CER1",9350,-0.0354443758333333,-3.992413521,3.95696914516667
"ILMN_1710284",6.87665757944445,3.52975654107143,2.94068298726566,0.00478294645069634,0.999537311363859,-4.58527857293699,"HES1",3280,1.07380740555556,7.950464985,6.87665757944444
"ILMN_1739496",3.39632058833333,-3.68782529464286,2.93800416212352,0.00481872963673329,0.999537311363859,-4.58529641444527,"PRRX1",5396,-4.90079693333333,-1.504476345,3.39632058833333
"ILMN_1658333",4.9995128825,0.742676922678571,2.9084322327676,0.0052306236377665,0.999537311363859,-4.58549287042117,"ECM1",1893,-1.0428633925,3.95664949,4.9995128825
"ILMN_1652494",5.10946240333333,5.15084666785714,2.88853075507681,0.00552596743813698,0.999537311363859,-4.58562455947375,"FAM139A",285966,3.32603866666667,8.43550107,5.10946240333333
"ILMN_1654677",-5.18650310277778,-1.10381338392857,-2.88224555527493,0.00562240738281104,0.999537311363859,-4.58566606012345,"RAD9B",144715,0.748509152777778,-4.43799395,5.18650310277778
"ILMN_1797744",-7.59034850333333,15.4220643321429,-2.87433007746619,0.0057460813930161,0.999537311363859,-4.58571826411139,"TPPP3",51673,18.1329030833333,10.54255458,7.59034850333333
"ILMN_1710406",-99.0330538888889,1290.71119107143,-2.87185731192372,0.00578523031459524,0.999537311363859,-4.58573455837771,"PSMC1",5700,1326.08013888889,1227.047085,99.0330538888891
"ILMN_1768393",8.08239224555555,7.64621835357143,2.87046269152556,0.00580741881557008,0.999537311363859,-4.58574374525367,"SNRPD1",6632,4.75964969444444,12.84204194,8.08239224555556
"ILMN_1767837",22.1798577666667,55.6963836071429,2.84980303407219,0.00614548147736993,0.999537311363859,-4.58587958599654,"GOLT1B",51026,47.7750058333333,69.9548636,22.1798577666667
"ILMN_1697363",-73.0611911111111,307.461253571429,-2.84111450523341,0.00629302102522623,0.999537311363859,-4.58593657230684,"C20orf27",54976,333.554536111111,260.493345,73.0611911111112
"ILMN_1720928",4.62708560111111,-4.06412851428571,2.8399265467561,0.00631344632333453,0.999537311363859,-4.58594435728721,"FKSG2",59347,-5.71665908611111,-1.089573485,4.62708560111111
"ILMN_2408663",-5.138970865,8.4390350125,-2.83196194612091,0.00645197738174376,0.999537311363859,-4.58599651004255,"RHCE",6006,10.27438175,5.135410885,5.138970865
"ILMN_1796377",-3.9060944975,-3.56157195160714,-2.83122598957542,0.00646491890795607,0.999537311363859,-4.58600132550748,"C14orf37",145407,-2.1665382025,-6.0726327,3.9060944975
